king_james_bible,King James Bible,
koran,Koran,
talmud,Talmud,
pride_and_prejudice,Pride and Prejudice,1813
alice_in_wonderland,Alice in Wonderland,1865
the_yellow_wallpaper,The Yellow Wallpaper,1892
ulysses,Ulysses,1922
sherlock_holmes,Sherlock Holmes,1892
three_men_boat,Three Men Boat,1889
sketch_book_crayon,Sketch Book Crayon,1819
heart_darkness,Heart of Darkness,1899
oliver_twist,Oliver Twist,1838
ancient_greek_legends,Ancient Greek Legends,
siddhartha,Siddhartha,1922
hound_baskervilles,Hound of Baskervilles,1902
crime_and_punishment,Crime and Punishment,1866
leviathan,Leviathan,1651
peter_pan,Peter Pan,1901
iliad,Iliad,
beowulf,Beowulf,
wuthering_heights,Wuthering Heights,1847
the_divine_comedy,The Divine Comedy,1308
great_expectations,Great Expectations,1861
frederick_douglass,Frederick Douglass,1845
jane_eyre,Jane Eyre,1847
tale_two_cities,Tale of Two Cities,1859
wit_humor_america,Wit Humor America,1907
wizard_of_oz,Wizard of Oz,1900
brothers_karamazov,Brothers Karamazov,1880
origin_species,Origin of Species,1859
guide_health,Guide to Health,1921
faust,Faust,1808
odyssey,Odyssey,
return_sherlock_holmes,Return of Sherlock Holmes,1903
sorrows_young_werther,Sorrows Young Werther,1774
emerson,Emerson,1841
aesop_fables,Aesop Fables,
discourse_method,Discourse Method,1637
canterbury_tales,Canterbury Tales,1450
tarzan_apes,Tarzan Apes,1912
poems_dickenson,Poems by Dickenson,1924
medieval_legends,Medieval Legends,
room_with_view,Room with a View,1908
dream_psychology,Dream Psychology,1921
amusements_mathematics,Amusements Mathematics,1958
thousand_one_nights,Thousand and One Nights,
the_waste_land,The Waste Land,1922
poetics,Poetics,
works_aristotle,Works Aristotle,
sindbad_sailor,Sindbad Sailor,
